书名,笔记内容
《人人都是产品经理（套装全四册）》,然后我将带着大家进行“需求采集”​。与用户接触的过程就是需求采集的过程。我们将了解到几种常用的需求采集方法，如“数据分析”​“调查问卷”​“用户访谈”等。我希望大家意识到“需求采集人人有责”​，从而“尽可能多地采集”需求。面对采集到的需求，产品经理要进行“需求分析”​，注意要做到“听用户的但不要照着做”​，必须“明确我们存在的价值”是“把用户需求转化为产品需求”​，这一过程即需求分析过程。产品经理要通过“给需求做一次DNA检测”​，来“确定需求的基本属性”​“分析需求的商业价值”​“初评需求的实现难度”​，从而“判断需求的性价比”​。资源总是有限的，所以我们只能做那些性价比高的事情。通过残酷的“需求筛选”​，​“活下来的永远是少数”​。看看“永远忘不掉的那场战争”​，给自己打打气：​“别灰心，少做就是多做”​，我们要有意识地“尽可能多地放弃”​。最后，是“需求管理”的话题。任何东西多了都需要管理，做产品更是“心急吃不了热豆腐”​。这里与大家聊聊“一个需求的生老病死”​“需求管理的附加值”​，以及我自己“和需求一起奋斗”的第一年。
《人人都是产品经理（套装全四册）》,某电子商务网站建设服务提供商的演示文档里有这样一句话——“相比您的需求，我们可能更重视您的用户的需求”​。对这个服务提供商来说，他在“您”​（他的客户）与“您的用户”​（客户网站的终端用户）之间，做出了明确的取舍，即优先满足产品使用者的需求，而不是付钱者的需求。
《人人都是产品经理（套装全四册）》,品经理的职责，负责采集用户需求并分析、筛选。
《人人都是产品经理（套装全四册）》,以老板所代表的广义用户为中心，在小团队里反而是一种较优的实践。
《人人都是产品经理（套装全四册）》,用户研究的方法
《人人都是产品经理（套装全四册）》,“说”和“做”​、定性与定量，相互之间各有优势与劣势，合理地搭配使用才能发挥最大的作用。下面这个产品调研的小例子，就是用了各种用户研究方法来交替解决问题的：第一轮，听用户定性地“说”，确定产品方向要怎么做。随机抽样40个用户做访谈，据此写出需求列表。第二轮，听用户定量地“说”，确定需求优先级要怎么做。投放了20万份调查问卷，确定了需求优先级的排序。第三轮，看用户定性地“做”​，先做的那几个需求要怎么做。一边设计，一边陆续找了10个用户来验证，做可用性测试。
《人人都是产品经理（套装全四册）》,第四轮，看用户定量地“做”​，根据产品的用户使用情况做数据分析，不断改进产品
《人人都是产品经理（套装全四册）》,图2-4　常用的需求采集方法
《人人都是产品经理（套装全四册）》,用户访谈的常见问题与对策
《人人都是产品经理（套装全四册）》,一般来说，诸如“我做了什么、步骤如何、碰到了什么问题”这类事实的可信度更高一些；而“我觉得、我认为”这类的观点，则需要带着大大的问号去听，并且机智地去探究支撑观点的事实。
《人人都是产品经理（套装全四册）》,首先，我们应该尽量识别出各种可能引起偏差的因素，并在访谈的报告里标明，让报告的读者了解。然后，为了用尽可能少的样本得到尽可能正确的结论，我会以增量的方式做访谈。举个例子，我会先访谈5个用户，得出基本结论，然后再访谈5个，观察结论是否有改变，如果有改变，就继续加大样本量，或者思考问题是否合适、样本集是否合适；如果没有改变，就停止继续访谈，节省成本。
《人人都是产品经理（套装全四册）》,《软件观念革命：交互设计精髓》[26]一书中也讲了不少用户访谈时需要注意的点，下面摘录一些要点分享给大家。
《人人都是产品经理（套装全四册）》,开篇一般放一些简单的不需要思考的问题，很想知道的、需要思考的、较敏感的问题一般放在中间，而有关被访者个人信息的题目一般放在问卷的最后，以免应答者在回答这些问题时有所顾忌，进而影响其他答案。
《人人都是产品经理（套装全四册）》,调查问卷的常见问题与对策
《人人都是产品经理（套装全四册）》,有一个设计问卷的小技巧：我们可以把目标群体的特征也定义成一系列问题放入问卷中，待我们回收问卷以后，就可以通过这些问题评估作答者是否能代表目标群体了。
《人人都是产品经理（套装全四册）》,数字百分比要具备稳定性才有价值，所以，此时只能说“问了5个用户，有3个用户选A”​。
《人人都是产品经理（套装全四册）》,对于重要的问卷，为了避免上述问题，我们还有个通用的办法就是先进行小范围的试答，根据反馈修改后，再大面积投放，
《人人都是产品经理（套装全四册）》,确样本对象、调查渠道、时间计划等，最后才是问卷内容本身。
《人人都是产品经理（套装全四册）》,可用性测试的常见问题与对策
《人人都是产品经理（套装全四册）》,记住，一切的错都是产品和我们的错，用户绝对没有错。如果真觉得用户错了，那也是你找错人了，不是这个用户错了。
《人人都是产品经理（套装全四册）》,数据分析的常见问题与对策
《人人都是产品经理（套装全四册）》,但在实际生产环境中我们会更重视综合的“性价比”​，所以我们日常的数据分析方法也就显得不那么严谨。尤其是小步快跑的创业团队，他们可能不需要在每次分析前都去验证样本群体是否符合某种统计分布，也可能不需要用高科技手段去预测产品将来的用户数，甚至给出“A＞B”的结论时也用不着做“显著性检验”​。
《人人都是产品经理（套装全四册）》,我们应该在产品设计的时候就把数据分析的需求加进去，比如记录每个按钮的点击次数、统计每个用户的登录频率等。这也是一种典型的非功能需求，这样做对产品的可持续发展非常必要。
《人人都是产品经理（套装全四册）》,对比一下，​“生孩子”的时候，我们去主动“拉”需求的比例较高，需求都是直接从用户那里得到的，有点“进攻”的感觉。​“孩子生出来”以后，就不再是你一个人的“孩子”了，必然是大家一起“养”​，所以我们需要照顾到各个方面，并且会收到很多“推”过来的需求，比较像“防守”的感觉。
《人人都是产品经理（套装全四册）》,最后再简单分享几个有特点的需求采集方法，希望大家能灵活应用，尽可能多地采集。
《人人都是产品经理（套装全四册）》,需求分析：从用户提出的需求出发，找到用户内心真正的渴望，再转化为产品需求的过程。[46]
《人人都是产品经理（套装全四册）》,需求分析是先“树叶—树枝—树干”，再“树干—树枝—树叶”的过程。也就是说，完整的需求分析是一个“分—总—分”的过程
《人人都是产品经理（套装全四册）》,伟大的需求分析师，可以无视用户想要的东西，去探究他内心真正的渴望，再给出更好的解决方案，或者说是用户真正需要的东西，这就是我们存在的价值。
《人人都是产品经理（套装全四册）》,我们后来发现还有其他的解决方案，比如电梯广告，不但可以转移用户注意力，减少抱怨，而且对写字楼来说，既不用花钱，又额外挣得一笔广告费；
《人人都是产品经理（套装全四册）》,一般来说，根据人类记忆的特点，产品有5±2个模块比较合理，如果超过7个，你就要考虑重新划分，甚至增加一个基本属性叫“二级模块
《人人都是产品经理（套装全四册）》,分类：可以分为新增功能、功能改进、体验提升、Bug修复、内部需求等。
《人人都是产品经理（套装全四册）》,层次：把需求分成基础、扩展（期望需求）、增值（兴奋需求）三层，理论依据参见KANO模型[49]。
《人人都是产品经理（套装全四册）》,用重要性、紧急度、持续时间3个指标来衡量
《人人都是产品经理（套装全四册）》,三点估算法
《人人都是产品经理（套装全四册）》,工期和工作量有很大的区别。比如生一个小孩需要1个女人9个月的时间，工作量可以说“9人月”，但9个女人1个月的时间，同样的“9人月”却是绝对完成不了这个任务的，所以不管几个人，这项工作的工期都只能是9个月
《人人都是产品经理（套装全四册）》,按产品线划分的团队对产品本身是有利的。产品经理权力更大，可以按照自己的想法做。不但资源有保证，产品规划也不容易被改变。此外，各种职能的员工之间沟通顺畅，开发的领导、测试的领导等都对产品经理负责。按职能线划分的团队对多个产品间的资源共享有利，可以让资源流向更需要的地方，保证对核心产品的投入，但是效率不高。由于产品规划的决策需要在更高层面上敲定，单个产品的发展速度会有所降低。但是，资源战争可以把“鲶鱼效应[51]”从产品内部扩大到公司层面，使产品经理和设计师们更抓狂地为产品的发展而苦苦思索，这是一件好事。两种组织结构，呈现“一攻一守”的不同面貌。在创业期，公司需要全速发展，必然是产品线结构，产品经理带头往前冲。而当公司里有多个产品慢慢成熟之后，就可以用职能线来更充分地利用资源。因为在成熟的产品团队中，要做的事情通常比创业时期少，或者没那么急，那么各种资源就显得有富裕，可以更加稳扎稳打，所以按职能线划分团队可以实现资源共享，同时还可以促进不同产品团队之间的互相学习，让员工的个人能力得到更多的提升。
《人人都是产品经理（套装全四册）》,做项目，终极目标就是：多快好省[52]，即范围大、时间短、品质高、资源省。
《人人都是产品经理（套装全四册）》,在需求列表里出现的任意一行，工作量最好不要超过“5人天”。
《人人都是产品经理（套装全四册）》,我们会拿出准备好的商业需求文档，每个产品都会拿出三五个，占满2～3倍的潜在资源。这里说的潜在资源，是指相对固定的开发、测试人员，因为技术人员对产品的熟悉程度不同，所以在短时间内，不可能太多的人同时转去做其他产品。这也就意味着潜在的人力资源数量是在一个值附近做微小浮动的，所以我们也可以认为，在一定程度上，资源的争夺是以产品内多个项目的争夺为主，产品间的争夺
《人人都是产品经理（套装全四册）》,BRD中的“商业价值”和“资源评估”两个重点在本质上其实是大老板们在追求性价比。大家都希望花费最少的资源获得最大的商业价值。
《人人都是产品经理（套装全四册）》,一个功能的多次需求会议必然是这样一个过程：开始大家对一个功能想得不完整，说着说着大家都想把这个功能做得再强一点，这里加一点那里加一点。但后来通常因为技术实现、资源等原因，又把这些加上去的功能点一个又一个地砍掉，砍到最后甚至会发现和一个月前的第一次方案是一样的。这个看似白搭的过程其实是有用的。大家一起经历了“见山是山、见山不是山、见山还是山”的三段过程。那些加上又砍掉的功能点，在第一个阶段我们根本没有想到；第二个阶段想到了，很兴奋，那就做吧；第三个阶段再次砍掉是权衡利弊之后的决定，和“没想到”是完全不同的。我们无法绕过第一阶段的无知，也千万别停在中间那个功能点“大而全”的时候，因为这样必死无疑！而第三阶段的“少做”则是超越第二阶段“多做”的“少做”，这才是真正的“多做”。
《人人都是产品经理（套装全四册）》,用100%的质量去实现75%的数量，而不是反过来！吸引用户的往往只是功能模块中的一两个点，我们一开始只要让这一两个闪光点拥有100%的质量其实就够了，这样留给用户的是对升级的期待
《人人都是产品经理（套装全四册）》,需求状态：通常有“待讨论”“暂缓”“拒绝”“需求中”“开发中”“已完成”
《人人都是产品经理（套装全四册）》,表2-10　一个需求的“DNA”
《人人都是产品经理（套装全四册）》,2-21　需求的生老病死
《人人都是产品经理（套装全四册）》,图2-23　“一个需求的奋斗史”详图
《人人都是产品经理（套装全四册）》,给出了项目的定义[59]：只进行一次且包含多项互相关联的任务，并有绩效、时间、成本和范围限制的一项工作。从这句话里可以看出，产品是解决某个问题的东西，而项目是一个过程。两者是两个不同层面上的概念，可人们经常说“做产品”“做项目”，二者所做的事情确实有几分相似，所以我们有必要把它们放在一起比较一番。
《人人都是产品经理（套装全四册）》,所以，我们会有一个已经“结项”的项目，但不可能有一个已经“完成”的产品（只有不断完善的产品，除非它被新产品替代）
《人人都是产品经理（套装全四册）》,产品经理关注的是做正确的事，关注的是产品生命周期，关注的是产品能否赚钱、能否持续地赚钱。因此，产品经理必须能够规划整个产品的架构和发展路线，能够确定产品的定位和受众，能够预计产品真正的价值和效益。项目经理需要按照产品规划制定的项目目标正确地做事情。只要项目能够按照目标完成，那么项目就是成功的。即使项目产出的产品不能真正盈利，那往往也是产品规划出现了失误
《人人都是产品经理（套装全四册）》,产品经理是内部驱动，项目经理是外部驱动
《人人都是产品经理（套装全四册）》,对产品经理来说，最重要的是判断力与创造力，产品经理决定做不做、做什么、做多少，保证方向正确。对项目经理来说，最重要的是执行力与控制力，项目经理决定怎么做、谁来做、何时做，保证方法得当。
《人人都是产品经理（套装全四册）》,但是对开发工程师的考核内容，一般是项目的完成情况、Bug数量等。很显然，如果他们做项目经理，就会倾向于简化项目、尽量少做、做自己熟悉的功能，使得项目顺利完成，并且Bug很少，但是做出来的东西也许商业价值不足、用户体验不好
《人人都是产品经理（套装全四册）》,按照经验，“1人天”通常等价于“5～6人小时”，而并不是按照一人一天工作8小时计算
《人人都是产品经理（套装全四册）》,魔方计划的粗略时间安排
《人人都是产品经理（套装全四册）》,做项目的目标无非是“多快好省”：项目范围大、流程时间短、产品品质高、所需资源省。但“又要马儿跑又想马儿不吃草”的事情是不可能的，所以，我们通常是在上述4个目标中寻找平衡。上述的4个目标可以对应经典的项目TRQ三要素：项目时间（Time）、项目资源（Resource）、项目质量（Quality）。但我个人觉得此处把Q解释为“Quality+Quantity”（品质+数量）或许更为准确。我所经历的项目，Q更多的是表达数量（Quantity），这是因为除非有特殊情况，“品质高”这点要求是不会被舍弃的，所以可变的是项目范围。
《人人都是产品经理（套装全四册）》,产品模块级项目的WBS模板（部
《人人都是产品经理（套装全四册）》,我们还要写一份项目小结。对于一个持续几周到两三个月的项目来说，项目小结比较适合在项目发布后半个月内完成。我们通过这份小结来总结做这个项目的心得体会，比如碰到了哪些问题，原因是什么，怎么解决的，如何避免再犯；项目的资源评估是否合理，收获了哪些经验，如何提高准确度；根据数据监控的反馈数据分析出了什么结果，项目的商业目标是否达到，
《人人都是产品经理（套装全四册）》,搭车事件，是指项目范围的扩展。一般来说，5个开发工作日以下的零散小需求不参与产品会议讨论，所以搭车事件总是存在的。但我们要尽量搭“顺风车”，找内容相关的项目处理这些扩展；尽量“早搭车”，在“需求冻结”之后一般不再提额外要求；尽量“不搭车”，我们作为项目经理需要把好关，不能因为随意让别人“搭车”导致团队长期、高负荷加班
《人人都是产品经理（套装全四册）》,看看项目管理中的几个关键问题，它们是：文档管理、流程管理、敏捷方法
《人人都是产品经理（套装全四册）》,PD常用的文档模板
《人人都是产品经理（套装全四册）》,产品、团队、项目进化以后，依靠个人是不行的，否则项目就会失败。这时候，流程也就慢慢形成了。流程是产品在“快”和“稳”两大要求之间的平衡器。设计流程的目标，在于保证“无论谁来做这个产品的设计，都能达到80分
《人人都是产品经理（套装全四册）》,上文中我们把所有常见的评审放在一起进行了比较，它们分为两类，即“商业评审”与“技术评审”。简单地讲，商业评审决定“做不做”，是产品会议与功能评审；而技术评审决定“怎么做”，是需求、设计、TC、发布评审。商业评审要做的三个决定是：项目继续、重新定向、项目终止，它的重要作用就是审议项目的商业价值。而技术评审的作用则是确保项目的推进
《人人都是产品经理（套装全四册）》,我们参考了几种经典的敏捷模式，按照产品、团队的需要定制了属于自己的敏捷方法，特点如下
《人人都是产品经理（套装全四册）》,事后分析，我觉得那次“项目外包”的模式本身就与敏捷格格不入，主要是在甲乙双方的意识上，存在着太多与敏捷理念冲突的问题，双方都有问题，也都付出了不小的代价。以下是我对这次外包项目的一部分总结：
《人人都是产品经理（套装全四册）》,乙方一定要在项目范围内安排比验收测试更详细的测试，千万不能把“找Bug”的测试寄托在甲方的验收测试上。
《人人都是产品经理（套装全四册）》,早期追随者和创新者最大的区别在于，早期追随者不是为了尝试新技术，而是为了解决某些需求才使用某产品的。早期追随者也会给产品提很多的想法，但他们是从需求出发的
《人人都是产品经理（套装全四册）》,Google是技术主导的团队，我从一位在Google做过市场工作的女生那里了解到，工程师在Google拥有绝对的话语权，而市场人员的地位相对较低。Apple则是无可争议的产品主导型公司，它的设计已经拥有了一种气质，它的产品几乎件件都是艺术品。而阿里巴巴就是由第三个方面——商业主导的，商业的强势导致了早年的阿里巴巴不招技术很强的应届毕业生，商业感觉是在真实的商业环境中磨炼出来的。后来，阿里巴巴开始体会到技术的瓶颈，加大了技术方面的投入[90
《人人都是产品经理（套装全四册）》,我建议读者有必要先看几本入门的书（书名见下文），也可以学习任正非在华为引进新的管理体系时所用的策略——“先僵化、后优化、再固化”，慢慢找到最适合的设计方法
《人人都是产品经理（套装全四册）》,Norman把设计的目标分为三个层次，即本能水平设计、行为水平设计、反思水平设计。有观点认为这三个层次对应了心理学里人脑的三种不同的活动层次：本能的、行为的和反思的。本能层次就是纯生理的视觉冲击；行为层次我认为是《设计心理学》一书的主要内容，主要讲的是产品功能、用户与产品交互层面的设计；而反思层次则是Norman思想的又一次升华，通过《情感化设计》一书，把纯心理需求也纳入了产品设计的考虑范围2。
《人人都是产品经理（套装全四册）》,反馈：动作前的可预测、动作中的积极响应、动作后的可评估。
《人人都是产品经理（套装全四册）》,公司必须找出事与人之间的匹配关系，在“职责”与“职员”两者之间，出现了“职位”的概念，这就能让HR批量地帮我们找到合适的人。每个职位的描述里，最重要的两块内容就是：“工作职责——做什么事”“职位要求——要什么人”。职位的出现，降低了用人单位与求职者双方的沟通成本，一个“交互设计师”“运营专员”这样的职位名称，就能传递很多信息
《人人都是产品经理（套装全四册）》,矩阵型组织则是上述两种组织结构的融合，如图4-7所示，横向是产品线、业务线，对客户负责；纵向是资源线、行政线，为了资源共享。如果说职能型组织比较适合防守型的业务，项目型组织适合进攻型业务，那么矩阵型组织就是全攻全守
《人人都是产品经理（套装全四册）》,概念图描述的是整个产品的内外关系，形式并不重要，重要的是表达出下面两点。
《人人都是产品经理（套装全四册）》,PD和普通用户看产品、想问题的角度通常是不一样的：PD习惯于从内向外，从本质出发；而用户习惯于从外向内，从表面看起。不论是概念设计，还是信息架构，都应该从用户的角度出发，以用户为中心，这意味着将来产品的表现要更接近用户的心智模型。
《人人都是产品经理（套装全四册）》,但他最大的劣势也是懂技术，他在思考问题时也许会让技术压倒商业，在业务逻辑还没确定的时候就考虑技术实现难度，导致方向走偏、进度受限。所以，PD之前做什么不重要，我们必须是一个通才而不是专才。
《人人都是产品经理（套装全四册）》,产品做出来之后，我们不能直接向用户介绍功能，而应该把“功能转化为卖点”。[延伸阅读15]我们先要告诉用户产品“有什么用”，用户才有兴趣了解“怎么用”。所以，运营的工作非常重要。
《人人都是产品经理（套装全四册）》,渠道战术讲究“推拉并重”。所谓“推”是集中力量做渠道工作，用高额利润去刺激渠道主动推销产品，快速抢占市场；而“拉”是通过媒体关系、广告、传播等手段启动市场，刺激消费者，促使渠道来找厂商。
《人人都是产品经理（套装全四册）》,推”适合企业规模小、技术含量高、销售过程复杂的产品，“拉”则反之。一般新产品主要靠“推”，老产品主要靠“拉”。
《人人都是产品经理（套装全四册）》,于成本考虑，我们的产品采用渠道销售——一种非核心业务外包的形式。但我们的终端客户是不会了解中间细节的，他们会把外包服务的不爽怪罪到产品上，给产品的体验减分。那么一个很大的问题就是：如何保证渠道的服务质量来保障产品的整体体验？
《人人都是产品经理（套装全四册）》,为产品经理，我们可以从产品版本细分的角度来理解。产品版本细分有两类：一种是做功能区分，分别应对每一个细分市场，比如笔记本的高中低端产品、手机的各种型号等。另一种是为了促进销售，利用消费者心理，纯策略性地做出“炮灰”版本，这类产品版本本质上是为产品的市场化服务
《人人都是产品经理（套装全四册）》,炮灰”策略又可以分为两种，一是在原有版本的基础上添加一些“鸡肋”功能，做一个价格高出很多的“高价炮灰”。比如在“抢市场而非赚钱”的商业目标指引下，主推免费版的同时还放出一个其实并不想卖的付费版本，以保持免费版的价值感[111]。二是删掉核心功能做一个价格稍低的“低价炮灰”。比如开始的那个图，会让消费者觉得商家真正想卖的那个版本特别实惠。
《人人都是产品经理（套装全四册）》,市场营销大师科特勒的《水平营销》[113]是很好的一本书。书中认为，纵向营销是Evolution（进化），其特点是渐变；水平营销是Revolution（革命），其特点是突变。水平营销是一种创新思维的方法。
《人人都是产品经理（套装全四册）》,QA是Quality Assurance，质量保证人员，主要负责流程管理（如需求变更流程、发布流程）、文档管理（如开发规范、测试规范）等工作。
《人人都是产品经理（套装全四册）》,的老人，或者只是把技术当作工具的工程师。他们的典型特点是KPI导向，公司考核他们什么，他们就做好什么，尽量少做事、做简单的事。这种看似不思进取的态度也有其巨大价值，他们往往经验丰富，在做事之前充分考虑，让每一份付出都有超额回报。他们能在一团乱麻中找出最简单稳妥的解决方案。他们很清楚自己需要什么、公司需要什么、产品团队需要什么。如何与工程
《人人都是产品经理（套装全四册）》,渐渐地，菜鸟觉得这样太辛苦了，于是每走一步就问老板，“我碰到一个问题，应该怎么做”，这就像让老板做问答题。老板每每给出答案，菜鸟再也不会做无用功了，做起事来也踏实多了。但是在某次菜鸟又来问问题的时候，老板问了他一句：这些问题你怎么自己不先想想，你什么信息都不给我，我怎么告诉你答案……菜鸟发现让老板做问答题，老板是很累的，需要让老板做选择题。于是，每次有问题的时候，他都会自己先收集很多的背景资料，然后选出几种可行的解决方案，再拿着所有的这些资料给老板做决定。并且在这个过程中，菜鸟发现有些问题在自己寻找解决方案的过程中已经被自己解决了。很久之后，菜鸟发现还可以更进一步，让老板做判断题。于是菜鸟在每次呈现给老板几条解决方案以后，又会加上自己的选择：我觉得A方案是最好的，因为……当然，菜鸟毕竟是菜鸟，因为各种原因，经常与老板的判断不同，但菜鸟在疑惑中又学会和老板讨论，渐渐地学到了一些老板的判断方法。
《人人都是产品经理（套装全四册）》,管理VS领导说实话，无论是管理还是领导，我的资历都太浅，所以用一系列的对比给出我的理解。管理更像科学，领导更像艺术；管理靠的是权力，领导靠的是魅力；管理者强调稳定，领导者喜欢冒险；管理者依法治人，领导者以德服人；管理的对象是行为，领导的对象是思维；管理管正确地做事，领导管做正确的事；管理是一步一个脚印，领导是不走寻常路；管理者注重短期目标，领导者注重长期发展；管理者是职业经理人，领导者是企业家和创业者；管理是汽车的制动系统，领导是汽车的驱动系统；管理是告诉团队怎么做，领导是告诉团队为什么做；管理对人的影响由外而内，领导给人的力量由内而外；管理让团队能完成这些事，领导让团队喜欢做这些事；……
《人人都是产品经理（套装全四册）》,大中之小”不如“小中之大”：送礼的时候，在一个不太昂贵的礼物类别中选择一个比较贵的礼物，要比在一个比较昂贵的礼物类别里选一个比较便宜的礼物效果更好。比如送一条1000块钱的围巾效果好于送一件1200块钱的衣服，我们应该尽量找一些高级的小玩意儿
《人人都是产品经理（套装全四册）》,小奖不如没奖：人们做事往往是由自己的内在动力驱动的，一旦与奖励挂钩，就变成了一个经济交易，做事的人会开始衡量投入产出的物质性价比，所以小奖反而不如没奖。惩罚也是如此，受到小的惩罚后反而会让人感觉心安理得，还不如没有惩罚。晚说不如早说：在期
《人人都是产品经理（套装全四册）》,可以参考《罗伯特议事规则》[142]。这本书里提出了一个简单实用的民主集中原则，即“所有人提供意见、少数人讨论、一个人拍板”，它也是综合了“效率与公平”的一种很好的实践。
《人人都是产品经理（套装全四册）》,这才是符合SMART原则的目标，SMART是指：
《人人都是产品经理（套装全四册）》,这也是为什么新兴互联网公司那么重视用户体验的原因：UE直接决定着用户来不来、用不用，从而影响公司的发展和盈利
《人人都是产品经理（套装全四册）》,可能还有一个原因：任何产品的用户总会分成新手、专家、中间用户，只不过三者所占的比例不同。像商用软件这种专业产品明显是做给专业用户的，他们使用频繁、追求高效，所以这些产品更倾向于“让人适应产品”，比如各种乐器、专业音响都是这样的。反过来，设计给新手用的产品必须是产品适应用户，像公共设施中的垃圾桶、电梯，就必须做到第一次使用就能轻松掌握，而需要培训才会用的日常产品基本是无法生存的。公司战略与用户需求正好
《人人都是产品经理（套装全四册）》,做产品经理三年来做过哪些事情，总结成四个词就是：需求、项目、团队、战略。
《人人都是产品经理（套装全四册）》,爱生活让我们充满动力；有理想让我们目标明确；会思考让我们方法得当；能沟通让我们团结前进。
《人人都是产品经理（套装全四册）》,如果把人比喻成电脑，人的头脑应该更像CPU，而不是硬盘。只教知识不教思维，可以让我们知道“怎么做”，能很好地执行、完成任务，但不会让我们去想“应该做什么”“为什么要做”等问题。
《人人都是产品经理（套装全四册）》,每当有人“骂”春晚的时候，产品经理的思路应该像对待一个提需求的用户一样：​“骂”的人是不是典型用户？他的观点能代表多少人？他的影响力多大？他是不是只是“嗓门大”的用户？他说的是不是解决方案？他的本质需求是什么？把他的需求加入需求列表应该标什么级别……
《人人都是产品经理（套装全四册）》,很喜欢猜测手边的任何产品即将出现的三个升级是什么。
《人人都是产品经理（套装全四册）》,产品经理的思维总是具有很强的怀疑性和批判性。比如接到一个任务，我们不会马上考虑怎么做，而是首先想弄清楚：​“为什么要做？能不能不做？为什么要我做？为什么现在就要做？​”
《人人都是产品经理（套装全四册）》,产品经理的思维方法和做事方式有很明显的特点。我们的工作就是在解决问题，很多时候，靠“灵光乍现”​“随机应变”来解决问题，会让人心里很不踏实。那么，可以提取出更具一般性的内容来指导我们做事情吗？对于这个问题，我觉得可以分解成以下的小问题：为了什么？做什么事、解决什么人的什么问题？何时做？谁来做？效果如何？这些问题又可以细分为如下几个部分。做某件事情“为了什么”是大前提。这个问题必然要涉及实施者的价值观和理想层面，知道自己需要什么的人在任何时刻都是充满力量的。后面的其他问题分别对应所做之事的前、中、后阶段。“做什么事、解决什么人的什么问题？​”是事前需要考虑的。其中“什么问题”和“什么人”对应本书第2章里讲到的用户需求和目标用户，​“做什么事”则是从用户需求转化而来的产品需求。要弄清楚“什么问题”​，就要从问题的定义入手，想清楚“现在在哪儿”​“想要去哪儿”​，然后明确目标与现实的差距，这个差距就是问题所在。对于“什么人”​，我们还可以想得更广一些，泛化到这个问题发生的条件，除了“谁”​，还可以考虑“哪里发生”​“持续多久”​“频率怎样”等。而“做什么事”就要分析问题和制定对策了，我们要综合考虑自己拥有的各种资源，给出一个可行的解决方案。这里要明确两点：一是问题不一定能解决，有的时候资源有限，只能把问题放在一边；二是问题不一定都要解决，如果解决问题花费的成本超过任其发生造成的损失，那宁愿顺其自然。
